cod;fecha;hora;consumo;dia;mes;anyo;horanum;diasemana;semananyo
1;01/01/2021;0:00:00;81.48333333;1;1;2021;0;5;1
2;01/01/2021;0:15:00;81.41666667;1;1;2021;0.25;5;1
3;01/01/2021;0:30:00;75.86800018;1;1;2021;0.5;5;1
4;01/01/2021;0:45:00;26.06400024;1;1;2021;0.75;5;1
5;01/01/2021;1:00:00;36.51666704;1;1;2021;1;5;1
6;01/01/2021;1:15:00;81.22000122;1;1;2021;1.25;5;1
7;01/01/2021;1:30:00;74.38600098;1;1;2021;1.5;5;1
8;01/01/2021;1:45:00;14.50933299;1;1;2021;1.75;5;1
9;01/01/2021;2:00:00;1.845;1;1;2021;2;5;1
10;01/01/2021;2:15:00;40.04100021;1;1;2021;2.25;5;1
11;01/01/2021;2:30:00;81.23799942;1;1;2021;2.5;5;1
12;01/01/2021;2:45:00;81.92200114;1;1;2021;2.75;5;1
13;01/01/2021;3:00:00;81.22000122;1;1;2021;3;5;1
14;01/01/2021;3:15:00;44.7693335;1;1;2021;3.25;5;1
15;01/01/2021;3:30:00;1;1;1;2021;3.5;5;1
16;01/01/2021;3:45:00;6.281666565;1;1;2021;3.75;5;1
17;01/01/2021;4:00:00;76.17999878;1;1;2021;4;5;1
18;01/01/2021;4:15:00;81.29666545;1;1;2021;4.25;5;1
19;01/01/2021;4:30:00;76.51666545;1;1;2021;4.5;5;1
20;01/01/2021;4:45:00;25.1806662;1;1;2021;4.75;5;1
21;01/01/2021;5:00:00;1;1;1;2021;5;5;1
22;01/01/2021;5:15:00;0.466666667;1;1;2021;5.25;5;1
23;01/01/2021;5:30:00;0;1;1;2021;5.5;5;1
24;01/01/2021;5:45:00;0;1;1;2021;5.75;5;1
25;01/01/2021;6:00:00;0;1;1;2021;6;5;1
26;01/01/2021;6:15:00;0;1;1;2021;6.25;5;1
27;01/01/2021;6:30:00;0;1;1;2021;6.5;5;1
28;01/01/2021;6:45:00;0;1;1;2021;6.75;5;1
29;01/01/2021;7:00:00;34;1;1;2021;7;5;1
30;01/01/2021;7:15:00;34.4;1;1;2021;7.25;5;1
31;01/01/2021;7:30:00;37.2;1;1;2021;7.5;5;1
32;01/01/2021;7:45:00;38.8;1;1;2021;7.75;5;1
35041;01/01/2022;0:00:00;90.8;1;1;2022;0;6;1
35042;01/01/2022;0:15:00;89.68333333;1;1;2022;0.25;6;1
35043;01/01/2022;0:30:00;38.4;1;1;2022;0.5;6;1
35044;01/01/2022;0:45:00;41.16666667;1;1;2022;0.75;6;1
35045;01/01/2022;1:00:00;69.18333333;1;1;2022;1;6;1
35046;01/01/2022;1:15:00;45.06666667;1;1;2022;1.25;6;1
35047;01/01/2022;1:30:00;42.4;1;1;2022;1.5;6;1
35048;01/01/2022;1:45:00;39.2;1;1;2022;1.75;6;1
35049;01/01/2022;2:00:00;32.8;1;1;2022;2;6;1
35050;01/01/2022;2:15:00;35.2;1;1;2022;2.25;6;1
35051;01/01/2022;2:30:00;34.8;1;1;2022;2.5;6;1
35052;01/01/2022;2:45:00;34.8;1;1;2022;2.75;6;1
35053;01/01/2022;3:00:00;37.6;1;1;2022;3;6;1
35054;01/01/2022;3:15:00;37.6;1;1;2022;3.25;6;1
35055;01/01/2022;3:30:00;34.8;1;1;2022;3.5;6;1
35056;01/01/2022;3:45:00;34.8;1;1;2022;3.75;6;1
35057;01/01/2022;4:00:00;36;1;1;2022;4;6;1
35058;01/01/2022;4:15:00;33.2;1;1;2022;4.25;6;1
35059;01/01/2022;4:30:00;30.4;1;1;2022;4.5;6;1
35060;01/01/2022;4:45:00;28;1;1;2022;4.75;6;1
35061;01/01/2022;5:00:00;26.4;1;1;2022;5;6;1
35062;01/01/2022;5:15:00;26.4;1;1;2022;5.25;6;1
35063;01/01/2022;5:30:00;26;1;1;2022;5.5;6;1
35064;01/01/2022;5:45:00;28;1;1;2022;5.75;6;1
35065;01/01/2022;6:00:00;27.2;1;1;2022;6;6;1
35066;01/01/2022;6:15:00;28.4;1;1;2022;6.25;6;1
35067;01/01/2022;6:30:00;29.6;1;1;2022;6.5;6;1
35068;01/01/2022;6:45:00;28.8;1;1;2022;6.75;6;1
35069;01/01/2022;7:00:00;30;1;1;2022;7;6;1
35070;01/01/2022;7:15:00;31.2;1;1;2022;7.25;6;1
35071;01/01/2022;7:30:00;32.8;1;1;2022;7.5;6;1
35072;01/01/2022;7:45:00;34;1;1;2022;7.75;6;1
70081;01/01/2023;0:00:00;45.2;1;1;2023;0;7;1
70082;01/01/2023;0:15:00;-12.4;1;1;2023;0.25;7;1
70083;01/01/2023;0:30:00;-13.00266652;1;1;2023;0.5;7;1
70084;01/01/2023;0:45:00;55.17900162;1;1;2023;0.75;7;1
70085;01/01/2023;1:00:00;68.94100037;1;1;2023;1;7;1
70086;01/01/2023;1:15:00;71.82799886;1;1;2023;1.25;7;1
70087;01/01/2023;1:30:00;71.0639978;1;1;2023;1.5;7;1
70088;01/01/2023;1:45:00;70.29799988;1;1;2023;1.75;7;1
70089;01/01/2023;2:00:00;60.76966548;1;1;2023;2;7;1
70090;01/01/2023;2:15:00;-25.8479999;1;1;2023;2.25;7;1
70091;01/01/2023;2:30:00;-23.21199982;1;1;2023;2.5;7;1
70092;01/01/2023;2:45:00;45.7040007;1;1;2023;2.75;7;1
70093;01/01/2023;3:00:00;67.88899933;1;1;2023;3;7;1
70094;01/01/2023;3:15:00;70.70800049;1;1;2023;3.25;7;1
70095;01/01/2023;3:30:00;71.09499969;1;1;2023;3.5;7;1
70096;01/01/2023;3:45:00;69.10200012;1;1;2023;3.75;7;1
70097;01/01/2023;4:00:00;40.47999827;1;1;2023;4;7;1
70098;01/01/2023;4:15:00;-26.57600011;1;1;2023;4.25;7;1
70099;01/01/2023;4:30:00;-4.973000412;1;1;2023;4.5;7;1
70100;01/01/2023;4:45:00;58.36700012;1;1;2023;4.75;7;1
70101;01/01/2023;5:00:00;65.52000122;1;1;2023;5;7;1
70102;01/01/2023;5:15:00;63.52000122;1;1;2023;5.25;7;1
70103;01/01/2023;5:30:00;62.32000122;1;1;2023;5.5;7;1
70104;01/01/2023;5:45:00;43.64400075;1;1;2023;5.75;7;1
70105;01/01/2023;6:00:00;37.74899997;1;1;2023;6;7;1
70106;01/01/2023;6:15:00;30.949;1;1;2023;6.25;7;1
70107;01/01/2023;6:30:00;30.8;1;1;2023;6.5;7;1
70108;01/01/2023;6:45:00;32;1;1;2023;6.75;7;1
70109;01/01/2023;7:00:00;34.4;1;1;2023;7;7;1
70110;01/01/2023;7:15:00;35.2;1;1;2023;7.25;7;1
70111;01/01/2023;7:30:00;37.2;1;1;2023;7.5;7;1
70112;01/01/2023;7:45:00;37.2;1;1;2023;7.75;7;1
